Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646

*>i  10.8.132.232/30  190.225.250.17           0    100      0 ?

*>i  10.8.133.196/30  190.225.250.16           0    100      0 ?

*>i  10.23.40.0/21    181.88.69.182            0    100      0 ?

*>i  10.23.41.128/30  181.88.69.182            0    100      0 ?

*>i  10.23.84.8/30    181.88.69.246            0    100      0 ?

*>i  10.23.84.32/30   181.88.69.182            0    100      0 ?

*>i  10.23.96.0/23    181.88.69.246            0    100      0 ?

*>i  10.23.96.64/27   181.88.69.250            0    100      0 65011 ?

*>i  10.23.96.96/29   181.88.69.250            0    100      0 65011 ?

*>i  10.23.100.0/29   181.88.69.250            0    100      0 65011 ?

*>i  10.23.103.0/29   181.88.79.194            0    100      0 ?

*>i  10.23.104.0/27   181.88.79.194            0    100      0 ?

*>i  10.23.104.40/29  181.88.79.194            0    100      0 ?

*>i  10.23.104.48/29  181.88.79.194            0    100      0 ?

*>i  10.23.114.0/24   181.88.69.182            0    100      0 ?

*>i  10.23.120.0/27   181.89.4.205            92    100      0 ?

*>i  10.23.120.2/32   181.89.4.205            82    100      0 ?

*>i  10.23.121.1/32   181.89.4.205            72    100      0 ?

*>i  10.23.121.8/29   181.89.4.205            82    100      0 ?

*>i  10.47.0.0/21     200.3.64.96              0    100      0 ?

*>i  10.47.7.28/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.32/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.40/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.44/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.48/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.64/30    181.88.79.67             0    100      0 ?

*>i  10.47.7.128/30   200.3.64.96              0    100      0 ?

*>i  10.47.16.0/30    181.96.115.214           0    100      0 ?

*>i  10.47.40.0/21    200.3.64.96              0    100      0 ?

*>i  10.47.41.128/30  200.3.64.96              0    100      0 ?

*>i  10.47.48.0/21    190.225.250.1            0    100      0 ?

*>i  10.47.49.128/30  190.225.250.1            0    100      0 ?

*>i  10.47.64.0/29    181.88.79.72             0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.47.64.8/29    181.88.79.72             0    100      0 ?

*>i  10.47.77.2/32    181.89.4.205            52    100      0 ?

*>i  10.47.77.4/30    181.89.4.205            62    100      0 ?

*>i  10.47.77.192/27  181.89.4.205           263    100      0 ?

*>i  10.47.77.226/32  181.89.4.205            62    100      0 ?

*>i  10.47.78.0/27    181.89.4.205           323    100      0 ?

*>i  10.47.90.0/27    186.153.154.31           0    100      0 ?

*>i  10.47.90.64/27   181.89.4.205            42    100      0 ?

*>i  10.47.90.96/27   181.89.4.205            82    100      0 ?

*>i  10.47.90.98/32   181.89.4.205            72    100      0 ?

*>i  10.47.113.65/32  181.89.4.205            53    100      0 ?

*>i  10.47.113.77/32  181.89.4.205           193    100      0 ?

*>i  10.47.113.78/32  181.89.4.205           163    100      0 ?

*>i  10.47.113.79/32  181.89.4.205           133    100      0 ?

*>i  10.47.113.80/32  181.89.4.205            73    100      0 ?

*>i  10.47.113.81/32  181.89.4.205            53    100      0 ?

*>i  10.47.113.82/32  181.89.4.205            73    100      0 ?

*>i  10.47.113.83/32  181.89.4.205           103    100      0 ?

*>i  10.47.113.84/32  181.89.4.205           133    100      0 ?

*>i  10.47.113.85/32  181.89.4.205           163    100      0 ?

*>i  10.47.113.86/32  181.89.4.205           193    100      0 ?

*>i  10.47.113.87/32  181.89.4.205           193    100      0 ?

*>i  10.47.113.88/32  181.89.4.205           163    100      0 ?

*>i  10.47.113.89/32  181.89.4.205           133    100      0 ?

*>i  10.47.113.90/32  181.89.4.205           103    100      0 ?

*>i  10.47.113.91/32  181.89.4.205           133    100      0 ?

*>i  10.47.113.92/32  181.89.4.205           163    100      0 ?

*>i  10.47.113.93/32  181.89.4.205           193    100      0 ?

*>i  10.47.113.94/32  181.89.4.205           223    100      0 ?

*>i  10.47.113.95/32  181.89.4.205           253    100      0 ?

*>i  10.47.113.145/32 181.89.4.205           283    100      0 ?

*>i  10.47.113.146/32 181.89.4.205           313    100      0 ?

*>i  10.47.113.148/32 181.89.4.205            12    100      0 ?

*>i  10.47.113.149/32 181.89.4.205            32    100      0 ?

*>i  10.47.113.152/32 186.153.154.31          32    100      0 ?

*>i  10.47.113.153/32 186.153.154.31          12    100      0 ?

*>i  10.47.113.154/32 181.88.79.72            32    100      0 ?

*>i  10.47.113.155/32 181.88.79.72            12    100      0 ?

*>i  10.47.113.156/32 181.89.4.205            92    100      0 ?

*>i  10.47.113.158/32 181.89.4.205            82    100      0 ?

*>i  10.47.113.159/32 181.89.4.205            92    100      0 ?

*>i  10.47.113.160/32 181.89.4.205            62    100      0 ?

*>i  10.47.113.161/32 181.89.4.205            62    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.47.113.162/32 181.89.4.205            62    100      0 ?

*>i  10.47.113.163/32 181.89.4.205           103    100      0 ?

*>i  10.47.113.167/32 181.89.4.205            62    100      0 ?

*>i  10.47.122.64/27  181.89.4.205            43    100      0 ?

*>i  10.47.124.128/29 181.89.4.205            43    100      0 ?

*>i  10.47.124.168/29 181.89.4.205           173    100      0 ?

*>i  10.47.125.8/29   181.89.4.205             0    100      0 ?

*>i  10.47.126.209/32 181.89.4.205            12    100      0 ?

*>i  10.47.127.1/32   181.89.4.205            62    100      0 ?

*>i  10.47.127.9/32   181.89.4.205            72    100      0 ?

*>i  10.47.127.17/32  181.89.4.205            62    100      0 ?

*>i  10.47.127.25/32  181.89.4.205            52    100      0 ?

*>i  10.47.127.33/32  181.89.4.205            42    100      0 ?

*>i  10.47.127.41/32  181.89.4.205            42    100      0 ?

*>i  10.47.127.49/32  181.89.4.205            52    100      0 ?

*>i  10.47.127.52/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.56/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.57/32  181.89.4.205            62    100      0 ?

*>i  10.47.127.60/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.64/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.68/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.72/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.76/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.80/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.88/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.92/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.96/30  181.88.79.81             0    100      0 ?

*>i  10.47.127.100/30 181.88.79.81             0    100      0 ?

*>i  10.47.127.104/30 181.88.79.81             0    100      0 ?

*>i  10.47.127.121/32 181.89.4.205            72    100      0 ?

*>i  10.47.127.129/32 181.89.4.205            82    100      0 ?

*>i  10.47.127.137/32 181.89.4.205            82    100      0 ?

*>i  10.47.127.144/29 181.89.4.205            42    100      0 ?

*>i  10.47.127.145/32 181.89.4.205            32    100      0 ?

*>i  10.47.127.153/32 181.89.4.205            52    100      0 ?

*>i  10.47.127.154/32 181.89.4.205            62    100      0 ?

*>i  10.47.128.0/26   181.89.4.7               0    100      0 ?

*>i  10.47.128.64/27  181.89.4.7               0    100      0 ?

*>i  10.47.129.32/27  181.89.4.7               0    100      0 ?

*>i  10.47.129.64/28  181.88.69.150            0    100      0 ?

*>i  10.47.129.64/26  181.89.4.7               0    100      0 ?

*>i  10.47.129.80/28  181.88.69.150            0    100      0 ?

*>i  10.47.129.86/31  181.88.69.150            0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.47.129.112/29 181.88.69.150            0    100      0 ?

*>i  10.47.129.120/29 181.88.69.150            0    100      0 ?

*>i  10.47.129.128/28 181.89.4.7               0    100      0 ?

*>i  10.47.129.144/29 181.89.4.7               0    100      0 ?

*>i  10.47.129.152/29 181.89.4.7               0    100      0 ?

*>i  10.47.129.160/29 181.89.4.7               0    100      0 ?

*>i  10.47.129.248/29 181.89.4.7               0    100      0 ?

*>i  10.47.130.114/31 181.88.172.158           0    100      0 ?

*>i  10.47.130.200/29 181.88.79.83             0    100      0 ?

*>i  10.47.130.216/29 181.88.79.83             0    100      0 ?

*>i  10.47.216.49/32  181.89.4.205            72    100      0 ?

*>i  10.47.216.73/32  181.89.4.205            72    100      0 ?

*>i  10.47.216.76/30  181.88.79.120            0    100      0 ?

*>i  10.47.216.81/32  181.89.4.205            62    100      0 ?

*>i  10.47.216.84/30  181.89.4.205            72    100      0 ?

*>i  10.47.216.244/30 181.88.79.72             0    100      0 ?

*>i  10.47.216.254/32 181.89.4.205            72    100      0 ?

*>i  10.47.220.16/32  181.89.4.205           103    100      0 ?

*>i  10.47.224.10/31  181.96.23.17             0    100      0 ?

*>i  10.61.9.64/27    181.88.172.58            0    100      0 ?

*    10.61.9.224/27   10.100.0.127                           0 10481 i

*                     10.100.0.127                           0 10481 i

*>i                   181.88.172.183           0    100      0 ?

* i                   181.96.23.155            0    100      0 ?

* i                   181.88.172.199           0    100      0 ?

*>i  10.61.12.0/29    181.88.172.58            0    100      0 ?

* i                   200.3.61.5               0    100      0 ?

*>i  10.61.12.8/29    200.3.61.5               0    100      0 ?

*>i  10.61.15.232/30  181.88.172.51            0    100      0 ?

*>i  10.61.34.2/31    181.88.172.158           0    100      0 ?

